,route_id,max_route_headway,max_route_weekday_headway
27,BX36,9,1
4,BX12+,10,1
6,BX15,10,1
41,BX9,10,1
10,BX19,12,1
20,BX3,12,1
26,BX35,12,1
29,BX39,12,1
33,BX41+,12,1
14,BX22,13,1
39,BX7,13,1
3,BX12,15,1
17,BX27,15,1
37,BX5,15,1
38,BX6,15,1
32,BX41,15,2
5,BX13,17,1
42,M100,17,1
2,BX11,20,1
11,BX2,20,1
1,BX10,20,2
8,BX17,20,2
13,BX21,20,2
16,BX26,20,2
21,BX30,20,2
22,BX31,20,2
0,BX1,24,1
34,BX42,24,3
23,BX32,30,2
25,BX34,30,2
7,BX16,30,3
18,BX28,30,3
24,BX33,30,3
28,BX38,30,3
30,BX4,30,3
31,BX40,30,3
36,BX4A,30,3
40,BX8,30,3
15,BX24,30,4
19,BX29,30,4
35,BX46,30,4
9,BX18,40,4
12,BX20,121,121
