,route_id,headway_tier,max_route_headway,max_route_weekday_headway
16,B35,10.0,7.06,0.72
19,B38,10.0,9.23,0.79
22,B41,10.0,8.57,0.75
28,B46,10.0,9.23,1.09
36,B6,10.0,8.0,0.73
58,Q58,10.0,7.06,0.88
0,B1,15.0,12.0,1.3
2,B12,15.0,10.91,1.11
5,B15,15.0,10.0,1.26
13,B3,15.0,10.91,1.41
25,B44,15.0,10.0,1.26
26,B44+,15.0,12.0,1.3
29,B46+,15.0,10.0,0.86
33,B52,15.0,13.33,1.32
44,B68,15.0,13.33,1.3
50,B82,15.0,12.0,1.25
1,B11,30.0,20.0,1.62
4,B14,30.0,20.0,2.07
6,B16,30.0,24.0,2.67
7,B17,30.0,15.0,1.71
8,B2,30.0,20.0,2.5
9,B20,30.0,20.0,2.18
11,B25,30.0,20.0,1.6
12,B26,30.0,20.0,1.45
14,B31,30.0,20.0,2.67
17,B36,30.0,15.0,1.58
23,B42,30.0,15.0,1.62
24,B43,30.0,20.0,2.5
27,B45,30.0,20.0,2.11
30,B47,30.0,20.0,2.07
31,B48,30.0,24.0,2.5
32,B49,30.0,20.0,1.64
34,B54,30.0,20.0,1.71
35,B57,30.0,20.0,2.5
37,B60,30.0,20.0,2.18
38,B61,30.0,20.0,1.82
39,B62,30.0,20.0,2.5
40,B63,30.0,20.0,2.07
41,B64,30.0,20.0,2.5
49,B8,30.0,15.0,1.62
51,B83,30.0,17.14,1.76
53,B9,30.0,15.0,1.67
54,Q24,30.0,20.0,2.07
55,Q54,30.0,20.0,2.11
56,Q55,30.0,20.0,2.18
57,Q56,30.0,20.0,2.03
3,B13,60.0,30.0,2.86
10,B24,60.0,30.0,3.75
15,B32,60.0,30.0,3.75
18,B37,60.0,30.0,3.75
20,B39,60.0,30.0,3.75
21,B4,60.0,30.0,3.75
42,B65,60.0,30.0,2.86
43,B67,60.0,30.0,3.75
45,B69,60.0,30.0,3.75
46,B7,60.0,30.0,2.86
47,B70,60.0,30.0,3.16
48,B74,60.0,40.0,3.87
59,Q59,60.0,30.0,2.86
60,X27,60.0,60.0,5.71
61,X28,60.0,60.0,7.5
52,B84,121.0,121.0,6.0
62,X37,121.0,121.0,121.0
63,X38,121.0,121.0,121.0
