,route_id,max_route_headway,max_route_weekday_headway
23,Q10,7,3
31,Q111,10,3
56,Q64,12,6
54,Q53,13,5
38,Q22,13,6
19,Q06,15,5
39,Q23,15,5
42,Q33,15,5
58,Q66,15,5
40,Q25,15,6
51,Q49,15,6
57,Q65,15,6
55,Q60,17,5
1,B103,20,4
21,Q08,20,7
44,Q35,20,7
48,Q40,20,7
60,Q69,20,7
35,Q18,20,10
41,Q29,20,10
45,Q37,20,10
61,Q70,20,10
24,Q100,24,7
53,Q52,24,12
30,Q110,30,5
32,Q112,30,7
0,B100,30,8
22,Q09,30,8
49,Q41,30,8
20,Q07,30,10
25,Q101,30,10
46,Q38,30,10
47,Q39,30,10
50,Q47,30,10
36,Q19,30,12
34,Q114,30,13
7,BX23,30,15
26,Q102,30,15
27,Q103,30,15
29,Q11,30,15
37,Q21,30,15
52,Q50,30,15
62,Q72,40,10
16,BXM7,40,13
8,BXM1,60,15
10,BXM11,60,15
12,BXM2,60,15
28,Q104,60,15
59,Q67,60,15
9,BXM10,60,17
17,BXM8,60,20
18,BXM9,60,20
15,BXM6,60,30
82,QM4,60,30
87,QM6,60,30
33,Q113,120,13
71,QM2,120,24
86,QM5,120,24
13,BXM3,120,30
14,BXM4,120,30
43,Q34,121,9
72,QM20,121,30
67,QM15,121,40
2,BM1,121,60
3,BM2,121,60
4,BM3,121,60
5,BM4,121,60
6,BM5,121,60
11,BXM18,121,121
63,QM1,121,121
64,QM10,121,121
65,QM11,121,121
66,QM12,121,121
68,QM16,121,121
69,QM17,121,121
70,QM18,121,121
73,QM21,121,121
74,QM24,121,121
75,QM25,121,121
76,QM3,121,121
77,QM31,121,121
78,QM32,121,121
79,QM34,121,121
80,QM35,121,121
81,QM36,121,121
83,QM40,121,121
84,QM42,121,121
85,QM44,121,121
88,QM7,121,121
89,QM8,121,121
