,route_id,headway_tier,max_route_headway,max_route_weekday_headway
10,M14A,10.0,8.57,1.76
11,M14D,10.0,4.62,1.0
21,M31,10.0,8.57,1.58
26,M42,10.0,7.5,1.25
30,M60+,10.0,5.45,1.48
34,M79,10.0,6.0,1.24
2,M101,15.0,12.0,1.29
5,M104,15.0,13.33,1.67
12,M15,15.0,13.33,1.82
13,M15+,15.0,10.91,1.11
15,M20,15.0,12.0,2.5
17,M22,15.0,10.0,2.5
29,M57,15.0,12.0,2.0
31,M66,15.0,10.0,1.58
33,M72,15.0,12.0,1.94
36,M86+,15.0,10.0,1.18
37,M9,15.0,10.0,2.31
0,M1,30.0,20.0,2.35
1,M10,30.0,20.0,2.18
3,M102,30.0,15.0,2.31
4,M103,30.0,17.14,2.07
7,M11,30.0,20.0,2.31
8,M116,30.0,17.14,1.79
9,M12,30.0,15.0,3.75
14,M2,30.0,17.14,2.18
16,M21,30.0,15.0,3.75
18,M23,30.0,15.0,10.0
19,M23+,30.0,15.0,1.67
20,M3,30.0,17.14,1.88
22,M34+,30.0,15.0,2.18
23,M34A+,30.0,15.0,2.14
24,M35,30.0,20.0,2.14
25,M4,30.0,15.0,1.74
27,M5,30.0,17.14,1.94
28,M50,30.0,15.0,2.86
32,M7,30.0,17.14,2.11
35,M8,30.0,15.0,2.86
38,M96,30.0,15.0,1.15
6,M106,60.0,40.0,4.29
39,M98,121.0,121.0,121.0
