,route_id,max_route_headway,max_route_weekday_headway
76,77,13,13
23,24,15,15
78,79,15,15
1,2,20,20
51,52,20,20
62,63,20,20
73,74,20,20
32,33,24,24
50,51,24,24
132,134,24,24
0,1,30,30
19,20,30,30
43,44,30,30
47,48,30,30
74,75,30,30
88,89,30,30
92,93,30,30
97,99,30,30
227,229,30,30
245,247,30,30
258,260,30,30
161,163,40,30
5,6,40,40
42,43,40,40
52,53,40,40
99,101,40,40
130,132,40,40
139,141,40,40
140,142,40,40
183,185,40,40
230,232,40,40
127,129,60,40
2,3,60,60
3,4,60,60
7,8,60,60
8,9,60,60
10,11,60,60
16,17,60,60
22,23,60,60
40,41,60,60
45,46,60,60
49,50,60,60
53,54,60,60
57,58,60,60
72,73,60,60
79,80,60,60
80,81,60,60
81,82,60,60
94,96,60,60
98,100,60,60
103,105,60,60
106,108,60,60
109,111,60,60
112,114,60,60
116,118,60,60
119,121,60,60
128,130,60,60
129,131,60,60
133,135,60,60
134,136,60,60
138,140,60,60
141,143,60,60
142,144,60,60
146,148,60,60
147,149,60,60
155,157,60,60
166,168,60,60
172,174,60,60
180,182,60,60
182,184,60,60
195,197,60,60
200,202,60,60
217,219,60,60
220,222,60,60
228,230,60,60
238,240,60,60
240,242,60,60
243,245,60,60
250,252,60,60
4,5,120,120
6,7,120,120
18,19,120,120
20,21,120,120
44,45,120,120
55,56,120,120
59,60,120,120
60,61,120,120
64,65,120,120
69,70,120,120
102,104,120,120
105,107,120,120
108,110,120,120
131,133,120,120
135,137,120,120
152,154,120,120
153,155,120,120
169,171,120,120
206,208,120,120
219,221,120,120
244,246,120,120
110,112,121,120
159,161,121,120
9,10,121,121
11,12,121,121
12,13,121,121
13,14,121,121
14,15,121,121
15,16,121,121
17,18,121,121
21,22,121,121
24,25,121,121
25,26,121,121
26,27,121,121
27,28,121,121
28,29,121,121
29,30,121,121
30,31,121,121
31,32,121,121
33,34,121,121
34,35,121,121
35,36,121,121
36,37,121,121
37,38,121,121
38,39,121,121
39,40,121,121
41,42,121,121
46,47,121,121
48,49,121,121
54,55,121,121
56,57,121,121
58,59,121,121
61,62,121,121
63,64,121,121
65,66,121,121
66,67,121,121
67,68,121,121
68,69,121,121
70,71,121,121
71,72,121,121
75,76,121,121
77,78,121,121
82,83,121,121
83,84,121,121
84,85,121,121
85,86,121,121
86,87,121,121
87,88,121,121
89,90,121,121
90,91,121,121
91,92,121,121
93,95,121,121
95,97,121,121
96,98,121,121
100,102,121,121
101,103,121,121
104,106,121,121
107,109,121,121
111,113,121,121
113,115,121,121
114,116,121,121
115,117,121,121
117,119,121,121
118,120,121,121
120,122,121,121
121,123,121,121
122,124,121,121
123,125,121,121
124,126,121,121
125,127,121,121
126,128,121,121
136,138,121,121
137,139,121,121
143,145,121,121
144,146,121,121
145,147,121,121
148,150,121,121
149,151,121,121
150,152,121,121
151,153,121,121
154,156,121,121
156,158,121,121
157,159,121,121
158,160,121,121
160,162,121,121
162,164,121,121
163,165,121,121
164,166,121,121
165,167,121,121
167,169,121,121
168,170,121,121
170,172,121,121
171,173,121,121
173,175,121,121
174,176,121,121
175,177,121,121
176,178,121,121
177,179,121,121
178,180,121,121
179,181,121,121
181,183,121,121
184,186,121,121
185,187,121,121
186,188,121,121
187,189,121,121
188,190,121,121
189,191,121,121
190,192,121,121
191,193,121,121
192,194,121,121
193,195,121,121
194,196,121,121
196,198,121,121
197,199,121,121
198,200,121,121
199,201,121,121
201,203,121,121
202,204,121,121
203,205,121,121
204,206,121,121
205,207,121,121
207,209,121,121
208,210,121,121
209,211,121,121
210,212,121,121
211,213,121,121
212,214,121,121
213,215,121,121
214,216,121,121
215,217,121,121
216,218,121,121
218,220,121,121
221,223,121,121
222,224,121,121
223,225,121,121
224,226,121,121
225,227,121,121
226,228,121,121
229,231,121,121
231,233,121,121
232,234,121,121
233,235,121,121
234,236,121,121
235,237,121,121
236,238,121,121
237,239,121,121
239,241,121,121
241,243,121,121
242,244,121,121
246,248,121,121
247,249,121,121
248,250,121,121
249,251,121,121
251,253,121,121
252,254,121,121
253,255,121,121
254,256,121,121
255,257,121,121
256,258,121,121
257,259,121,121
