,route_id,max_route_headway,max_route_weekday_headway
40,n6,6,5
26,n4,10,8
6,n15,12,10
10,n20G,15,7
13,n22,15,15
11,n20H,30,15
17,n24,30,15
18,n25,30,15
27,n40,30,15
28,n41,30,15
39,n58,30,15
16,n23,30,20
24,n35,30,20
29,n43,30,20
12,n21,30,30
20,n27,30,30
22,n32,30,30
43,n71,30,30
44,n72,30,30
46,n79,30,30
5,n1,60,20
8,n19,60,30
23,n33,60,30
37,n55,60,60
49,n88,60,60
7,n16,121,15
21,n31,121,30
25,n36,121,30
47,n80,121,30
48,n81,121,30
36,n54,121,60
42,n70,121,60
0,ElFx,121,121
1,FCS,121,121
2,HWCS,121,121
3,MMCS,121,121
4,RCCS,121,121
9,n20,121,121
14,n22A,121,121
15,n22X,121,121
19,n26,121,121
30,n45,121,121
31,n47,121,121
32,n48,121,121
33,n49,121,121
34,n4X,121,121
35,n51,121,121
38,n57,121,121
41,n6X,121,121
45,n78,121,121
