,route_id,max_route_headway,max_route_weekday_headway
7,S53,12,6
19,S79+,12,7
18,S78,20,7
16,S74,20,10
31,X1,20,12
3,S46,24,7
4,S48,30,7
2,S44,30,8
14,S62,30,8
0,S40,30,10
5,S51,30,10
12,S59,30,10
13,S61,30,10
17,S76,30,10
6,S52,30,15
11,S57,30,17
32,X10,40,30
38,X17,60,60
8,S54,121,15
9,S55,121,15
10,S56,121,15
15,S66,121,15
27,S93,121,15
1,S42,121,121
20,S81,121,121
21,S84,121,121
22,S86,121,121
23,S89,121,121
24,S90,121,121
25,S91,121,121
26,S92,121,121
28,S94,121,121
29,S96,121,121
30,S98,121,121
33,X10B,121,121
34,X11,121,121
35,X12,121,121
36,X14,121,121
37,X15,121,121
39,X17A,121,121
40,X17J,121,121
41,X19,121,121
42,X2,121,121
43,X21,121,121
44,X22,121,121
45,X22A,121,121
46,X3,121,121
47,X30,121,121
48,X31,121,121
49,X4,121,121
50,X42,121,121
51,X5,121,121
52,X7,121,121
53,X8,121,121
54,X9,121,121
