,route_id,headway_tier,weekday_headway_tier,max_route_headway,max_route_weekday_headway
4,BX12+,10,10,10.0,6.32
27,BX36,10,10,9.23,8.0
6,BX15,15,10,10.91,5.71
10,BX19,15,10,12.0,8.57
20,BX3,15,10,12.0,8.0
26,BX35,15,10,12.0,7.5
33,BX41+,15,10,12.0,10.0
38,BX6,15,10,15.0,10.0
42,BX9,15,10,10.91,8.57
3,BX12,15,15,15.0,12.0
14,BX22,15,15,13.33,13.33
17,BX27,15,15,15.0,12.0
29,BX39,15,15,12.0,12.0
32,BX41,15,15,15.0,13.33
37,BX5,15,15,15.0,12.0
39,BX6+,15,15,12.0,12.0
40,BX7,15,15,13.33,12.0
5,BX13,30,10,17.14,10.0
11,BX2,30,10,20.0,9.23
13,BX21,30,10,20.0,10.0
43,M100,30,10,17.14,10.0
0,BX1,30,15,24.0,10.91
1,BX10,30,15,20.0,13.33
2,BX11,30,15,20.0,12.0
8,BX17,30,15,20.0,12.0
16,BX26,30,15,20.0,15.0
21,BX30,30,15,20.0,15.0
22,BX31,30,15,20.0,12.0
23,BX32,30,15,30.0,15.0
41,BX8,30,15,30.0,15.0
7,BX16,30,30,30.0,20.0
15,BX24,30,30,30.0,30.0
18,BX28,30,30,30.0,20.0
19,BX29,30,30,30.0,30.0
24,BX33,30,30,30.0,20.0
25,BX34,30,30,30.0,20.0
28,BX38,30,30,30.0,17.14
30,BX4,30,30,30.0,30.0
31,BX40,30,30,30.0,20.0
34,BX42,30,30,24.0,20.0
35,BX46,30,30,30.0,30.0
36,BX4A,30,30,30.0,30.0
9,BX18,60,30,40.0,30.0
12,BX20,121,121,121.0,121.0
