,route_id,headway_tier,weekday_headway_tier,max_route_headway,max_route_weekday_headway
5,B15,10,10,10.0,10.0
16,B35,10,10,7.06,5.0
19,B38,10,10,9.23,5.45
22,B41,10,10,8.57,5.0
25,B44,10,10,10.0,10.0
28,B46,10,10,9.23,9.23
29,B46+,10,10,10.0,6.0
36,B6,10,10,7.5,4.44
58,Q58,10,10,7.5,7.5
0,B1,15,10,12.0,7.5
2,B12,15,10,10.91,8.0
26,B44+,15,10,12.0,8.57
33,B52,15,10,13.33,8.57
44,B68,15,10,10.91,9.23
50,B82,15,10,12.0,10.0
7,B17,15,15,15.0,15.0
13,B3,15,15,10.91,10.91
17,B36,15,15,15.0,10.91
23,B42,15,15,15.0,12.0
49,B8,15,15,15.0,12.0
53,B9,15,15,13.33,12.0
11,B25,30,10,20.0,10.0
32,B49,30,10,20.0,10.0
1,B11,30,15,17.14,12.0
4,B14,30,15,20.0,15.0
12,B26,30,15,20.0,12.0
27,B45,30,15,20.0,15.0
30,B47,30,15,20.0,15.0
34,B54,30,15,20.0,12.0
37,B60,30,15,20.0,15.0
38,B61,30,15,20.0,12.0
40,B63,30,15,20.0,15.0
51,B83,30,15,17.14,12.0
54,Q24,30,15,20.0,15.0
56,Q55,30,15,20.0,15.0
57,Q56,30,15,20.0,15.0
3,B13,30,30,30.0,20.0
6,B16,30,30,24.0,20.0
8,B2,30,30,20.0,20.0
9,B20,30,30,20.0,17.14
10,B24,30,30,30.0,30.0
14,B31,30,30,20.0,20.0
15,B32,30,30,30.0,30.0
18,B37,30,30,30.0,30.0
20,B39,30,30,30.0,30.0
21,B4,30,30,30.0,30.0
24,B43,30,30,20.0,20.0
31,B48,30,30,24.0,20.0
35,B57,30,30,20.0,20.0
39,B62,30,30,20.0,20.0
41,B64,30,30,20.0,20.0
42,B65,30,30,30.0,20.0
43,B67,30,30,30.0,30.0
45,B69,30,30,30.0,30.0
46,B7,30,30,30.0,20.0
47,B70,30,30,30.0,30.0
55,Q54,30,30,20.0,17.14
59,Q59,30,30,30.0,20.0
48,B74,60,30,40.0,30.0
60,X27,60,60,60.0,40.0
61,X28,60,60,60.0,60.0
52,B84,121,30,121.0,30.0
62,X37,121,121,121.0,121.0
63,X38,121,121,121.0,121.0
