,route_id,headway_tier,weekday_headway_tier,max_route_headway,max_route_weekday_headway
23,Q10,10,10,7.5,6.67
31,Q111,10,10,7.5,7.5
19,Q06,15,10,15.0,10.0
38,Q22,15,10,13.33,10.0
42,Q33,15,10,15.0,10.0
56,Q64,15,10,12.0,10.0
57,Q65,15,10,15.0,10.0
24,Q100,15,15,15.0,15.0
39,Q23,15,15,15.0,10.91
40,Q25,15,15,15.0,12.0
51,Q49,15,15,15.0,15.0
54,Q53+,15,15,13.33,12.0
58,Q66,15,15,13.33,10.91
1,B103,30,10,20.0,7.5
30,Q110,30,10,30.0,10.0
55,Q60,30,10,17.14,10.0
0,B100,30,15,30.0,15.0
21,Q08,30,15,20.0,15.0
22,Q09,30,15,30.0,15.0
32,Q112,30,15,20.0,15.0
44,Q35,30,15,20.0,15.0
48,Q40,30,15,20.0,15.0
60,Q69,30,15,20.0,15.0
7,BX23,30,30,30.0,30.0
20,Q07,30,30,30.0,20.0
25,Q101,30,30,30.0,20.0
26,Q102,30,30,30.0,30.0
27,Q103,30,30,30.0,30.0
29,Q11,30,30,30.0,30.0
34,Q114,30,30,30.0,30.0
35,Q18,30,30,20.0,20.0
36,Q19,30,30,30.0,20.0
41,Q29,30,30,20.0,20.0
45,Q37,30,30,20.0,20.0
46,Q38,30,30,30.0,20.0
47,Q39,30,30,30.0,20.0
49,Q41,30,30,30.0,20.0
50,Q47,30,30,30.0,20.0
52,Q50,30,30,30.0,30.0
53,Q52+,30,30,20.0,20.0
61,Q70+,30,30,20.0,20.0
8,BXM1,60,30,60.0,30.0
9,BXM10,60,30,60.0,30.0
10,BXM11,60,30,60.0,30.0
12,BXM2,60,30,60.0,30.0
16,BXM7,60,30,40.0,30.0
28,Q104,60,30,60.0,30.0
33,Q113,60,30,60.0,30.0
59,Q67,60,30,60.0,30.0
62,Q72,60,30,40.0,20.0
13,BXM3,60,60,120.0,60.0
14,BXM4,60,60,120.0,60.0
15,BXM6,60,60,60.0,60.0
17,BXM8,60,60,60.0,40.0
18,BXM9,60,60,60.0,40.0
37,Q21,60,60,40.0,40.0
71,QM2,60,60,120.0,40.0
82,QM4,60,60,60.0,60.0
86,QM5,60,60,120.0,40.0
87,QM6,60,60,60.0,60.0
43,Q34,121,15,121.0,13.33
2,BM1,121,60,121.0,120.0
3,BM2,121,60,121.0,120.0
4,BM3,121,60,121.0,120.0
5,BM4,121,60,121.0,120.0
6,BM5,121,60,121.0,120.0
67,QM15,121,60,121.0,120.0
72,QM20,121,60,121.0,60.0
11,BXM18,121,121,121.0,121.0
63,QM1,121,121,121.0,121.0
64,QM10,121,121,121.0,121.0
65,QM11,121,121,121.0,121.0
66,QM12,121,121,121.0,121.0
68,QM16,121,121,121.0,121.0
69,QM17,121,121,121.0,121.0
70,QM18,121,121,121.0,121.0
73,QM21,121,121,121.0,121.0
74,QM24,121,121,121.0,121.0
75,QM25,121,121,121.0,121.0
76,QM3,121,121,121.0,121.0
77,QM31,121,121,121.0,121.0
78,QM32,121,121,121.0,121.0
79,QM34,121,121,121.0,121.0
80,QM35,121,121,121.0,121.0
81,QM36,121,121,121.0,121.0
83,QM40,121,121,121.0,121.0
84,QM42,121,121,121.0,121.0
85,QM44,121,121,121.0,121.0
88,QM7,121,121,121.0,121.0
89,QM8,121,121,121.0,121.0
