,route_id,headway_tier,weekday_headway_tier,max_route_headway,max_route_weekday_headway
11,M14D,10,10,9.23,8.0
36,M86+,10,10,10.0,6.67
2,M101,15,10,12.0,7.5
5,M104,15,10,13.33,10.0
12,M15,15,10,13.33,10.0
13,M15+,15,10,10.91,7.5
18,M23+,15,10,15.0,8.57
24,M4,15,10,15.0,10.0
25,M42,15,10,15.0,9.23
34,M79+,15,10,10.91,7.5
38,M96,15,10,15.0,6.0
3,M102,15,15,15.0,15.0
20,M31,15,15,15.0,12.0
30,M60+,15,15,10.91,10.91
8,M116,30,10,17.14,10.0
31,M66,30,10,20.0,10.0
0,M1,30,15,20.0,15.0
1,M10,30,15,20.0,15.0
4,M103,30,15,17.14,15.0
7,M11,30,15,20.0,13.33
10,M14A,30,15,17.14,13.33
14,M2,30,15,17.14,13.33
19,M3,30,15,17.14,10.91
21,M34+,30,15,30.0,15.0
23,M35,30,15,20.0,15.0
26,M5,30,15,17.14,12.0
28,M55,30,15,20.0,15.0
29,M57,30,15,24.0,15.0
32,M7,30,15,17.14,10.91
33,M72,30,15,24.0,12.0
37,M9,30,15,20.0,15.0
6,M106,30,30,30.0,30.0
9,M12,30,30,30.0,30.0
15,M20,30,30,24.0,20.0
16,M21,30,30,30.0,30.0
17,M22,30,30,20.0,20.0
22,M34A+,30,30,30.0,17.14
27,M50,30,30,30.0,20.0
35,M8,30,30,30.0,30.0
39,M98,121,121,121.0,121.0
