,route_id,headway_tier,weekday_headway_tier,max_route_headway,max_route_weekday_headway
76,77,15,10,13.33,10.0
78,79,15,10,15.0,10.0
23,24,15,15,15.0,13.33
73,74,30,10,20.0,10.0
0,1,30,15,30.0,13.33
90,91,30,15,30.0,12.0
130,131,30,15,24.0,15.0
239,240,30,15,30.0,12.0
1,2,30,30,20.0,20.0
19,20,30,30,30.0,20.0
32,33,30,30,24.0,20.0
43,44,30,30,30.0,30.0
47,48,30,30,30.0,24.0
50,51,30,30,24.0,24.0
51,52,30,30,20.0,20.0
52,53,30,30,30.0,30.0
62,63,30,30,20.0,20.0
74,75,30,30,30.0,30.0
86,87,30,30,30.0,20.0
252,253,30,30,30.0,30.0
4,5,60,30,120.0,30.0
40,41,60,30,60.0,30.0
42,43,60,30,40.0,30.0
45,46,60,30,60.0,30.0
72,73,60,30,60.0,30.0
80,81,60,30,60.0,30.0
81,82,60,30,60.0,30.0
96,97,60,30,40.0,20.0
98,99,60,30,40.0,20.0
108,109,60,30,60.0,30.0
118,119,60,30,60.0,30.0
128,129,60,30,40.0,30.0
144,145,60,30,60.0,30.0
145,146,60,30,60.0,30.0
153,154,60,30,60.0,30.0
159,160,60,30,40.0,17.14
167,168,60,30,120.0,24.0
170,171,60,30,60.0,30.0
175,176,60,30,120.0,30.0
176,177,60,30,60.0,30.0
178,179,60,30,60.0,30.0
179,180,60,30,40.0,20.0
196,197,60,30,60.0,20.0
202,203,60,30,120.0,30.0
213,214,60,30,60.0,30.0
221,222,60,30,40.0,17.14
224,225,60,30,40.0,17.14
232,233,60,30,40.0,30.0
237,238,60,30,60.0,30.0
238,239,60,30,120.0,30.0
244,245,60,30,60.0,20.0
2,3,60,60,60.0,40.0
3,4,60,60,60.0,60.0
5,6,60,60,40.0,40.0
6,7,60,60,120.0,120.0
7,8,60,60,120.0,120.0
8,9,60,60,60.0,60.0
10,11,60,60,60.0,60.0
16,17,60,60,60.0,60.0
18,19,60,60,120.0,60.0
20,21,60,60,120.0,120.0
22,23,60,60,60.0,60.0
44,45,60,60,120.0,120.0
49,50,60,60,60.0,60.0
53,54,60,60,60.0,60.0
55,56,60,60,120.0,40.0
57,58,60,60,60.0,60.0
59,60,60,60,120.0,60.0
60,61,60,60,120.0,60.0
64,65,60,60,120.0,60.0
69,70,60,60,120.0,120.0
79,80,60,60,60.0,40.0
93,94,60,60,60.0,60.0
97,98,60,60,60.0,60.0
101,102,60,60,120.0,40.0
102,103,60,60,60.0,60.0
104,105,60,60,120.0,60.0
105,106,60,60,60.0,60.0
107,108,60,60,120.0,40.0
111,112,60,60,60.0,60.0
115,116,60,60,60.0,60.0
125,126,60,60,60.0,40.0
126,127,60,60,60.0,60.0
127,128,60,60,60.0,60.0
129,130,60,60,120.0,60.0
131,132,60,60,60.0,60.0
132,133,60,60,60.0,60.0
133,134,60,60,120.0,120.0
135,136,60,60,60.0,60.0
136,137,60,60,60.0,60.0
137,138,60,60,40.0,40.0
138,139,60,60,60.0,60.0
140,141,60,60,60.0,60.0
150,151,60,60,120.0,60.0
151,152,60,60,120.0,60.0
