,route_id,headway_tier,weekday_headway_tier,max_route_headway,max_route_weekday_headway
0,ElFx,121,121,121,121
1,FCS,121,121,121,121
2,HWCS,121,121,121,121
3,MMCS,121,121,121,121
4,RCCS,121,121,121,121
5,n1,121,121,121,121
6,n15,121,121,121,121
7,n16,121,121,121,121
8,n19,121,121,121,121
9,n20,121,121,121,121
10,n20G,121,121,121,121
11,n20H,121,121,121,121
12,n21,121,121,121,121
13,n22,121,121,121,121
14,n22A,121,121,121,121
15,n22X,121,121,121,121
16,n23,121,121,121,121
17,n24,121,121,121,121
18,n25,121,121,121,121
19,n26,121,121,121,121
20,n27,121,121,121,121
21,n31,121,121,121,121
22,n32,121,121,121,121
23,n33,121,121,121,121
24,n35,121,121,121,121
25,n36,121,121,121,121
26,n4,121,121,121,121
27,n40,121,121,121,121
28,n41,121,121,121,121
29,n43,121,121,121,121
30,n45,121,121,121,121
31,n47,121,121,121,121
32,n48,121,121,121,121
33,n49,121,121,121,121
34,n4X,121,121,121,121
35,n51,121,121,121,121
36,n54,121,121,121,121
37,n55,121,121,121,121
38,n57,121,121,121,121
39,n58,121,121,121,121
40,n6,121,121,121,121
41,n6X,121,121,121,121
42,n70,121,121,121,121
43,n71,121,121,121,121
44,n72,121,121,121,121
45,n78,121,121,121,121
46,n79,121,121,121,121
47,n80,121,121,121,121
48,n81,121,121,121,121
49,n88,121,121,121,121
