,route_id,headway_tier,max_route_headway,max_route_weekday_headway
7,S53,15,15.0,15.0
19,S79+,15,15.0,15.0
0,S40,30,30.0,20.0
2,S44,30,30.0,17.14
3,S46,30,24.0,17.14
4,S48,30,30.0,17.14
5,S51,30,30.0,20.0
6,S52,30,30.0,30.0
12,S59,30,30.0,24.0
13,S61,30,30.0,20.0
14,S62,30,30.0,17.14
16,S74,30,20.0,20.0
17,S76,30,30.0,20.0
18,S78,30,20.0,17.14
31,X1,30,30.0,30.0
11,S57,60,40.0,40.0
32,X10,60,60.0,60.0
38,X17,60,120.0,120.0
1,S42,121,121.0,121.0
8,S54,121,121.0,121.0
9,S55,121,121.0,121.0
10,S56,121,121.0,121.0
15,S66,121,121.0,121.0
20,S81,121,121.0,121.0
21,S84,121,121.0,121.0
22,S86,121,121.0,121.0
23,S89,121,121.0,121.0
24,S90,121,121.0,121.0
25,S91,121,121.0,121.0
26,S92,121,121.0,121.0
27,S93,121,121.0,121.0
28,S94,121,121.0,121.0
29,S96,121,121.0,121.0
30,S98,121,121.0,121.0
33,X10B,121,121.0,121.0
34,X11,121,121.0,121.0
35,X12,121,121.0,121.0
36,X14,121,121.0,121.0
37,X15,121,121.0,121.0
39,X17A,121,121.0,121.0
40,X17J,121,121.0,121.0
41,X19,121,121.0,121.0
42,X2,121,121.0,121.0
43,X21,121,121.0,121.0
44,X22,121,121.0,121.0
45,X22A,121,121.0,121.0
46,X3,121,121.0,121.0
47,X30,121,121.0,121.0
48,X31,121,121.0,121.0
49,X4,121,121.0,121.0
50,X42,121,121.0,121.0
51,X5,121,121.0,121.0
52,X7,121,121.0,121.0
53,X8,121,121.0,121.0
54,X9,121,121.0,121.0
