,route_id,headway_tier,weekday_headway_tier,max_route_headway,max_route_weekday_headway
0,1,10,10,10.0,6.0
5,6,10,10,8.57,5.45
7,7,10,10,7.5,5.45
17,GS,10,10,10.0,5.0
20,L,10,10,6.0,5.0
1,2,15,10,12.0,8.57
2,3,15,10,12.0,8.57
3,4,15,10,10.91,8.0
4,5,15,10,12.0,8.57
9,A,15,10,10.91,9.23
11,C,15,10,12.0,10.0
12,D,15,10,12.0,10.0
13,E,15,10,10.91,7.5
14,F,15,10,10.91,7.5
15,FS,15,10,15.0,10.0
16,G,15,10,10.91,10.0
21,N,15,10,12.0,10.0
22,R,15,10,10.91,10.0
19,J,15,15,13.33,10.91
18,H,30,30,20.0,17.14
23,SI,30,30,30.0,30.0
10,B,121,15,121.0,10.91
6,6X,121,30,121.0,20.0
8,7X,121,121,121.0,121.0
