,route_id,headway_tier,weekday_headway_tier,max_route_headway,max_route_weekday_headway
0,13126,121,121,121,121
1,13127,121,121,121,121
2,13128,121,121,121,121
3,13129,121,121,121,121
4,13130,121,121,121,121
5,13131,121,121,121,121
6,13132,121,121,121,121
7,13133,121,121,121,121
8,13134,121,121,121,121
9,13135,121,121,121,121
10,13136,121,121,121,121
11,13137,121,121,121,121
12,13138,121,121,121,121
13,13139,121,121,121,121
14,13140,121,121,121,121
15,13141,121,121,121,121
16,13142,121,121,121,121
17,13143,121,121,121,121
18,13144,121,121,121,121
19,13145,121,121,121,121
20,13146,121,121,121,121
21,13147,121,121,121,121
22,13148,121,121,121,121
23,13149,121,121,121,121
24,13150,121,121,121,121
25,13151,121,121,121,121
26,13152,121,121,121,121
27,13153,121,121,121,121
28,13154,121,121,121,121
29,13155,121,121,121,121
30,13156,121,121,121,121
31,13157,121,121,121,121
32,13158,121,121,121,121
33,13159,121,121,121,121
34,13160,121,121,121,121
35,13161,121,121,121,121
36,13162,121,121,121,121
37,13163,121,121,121,121
38,13164,121,121,121,121
39,13165,121,121,121,121
40,13166,121,121,121,121
41,13167,121,121,121,121
42,13168,121,121,121,121
43,13169,121,121,121,121
44,13170,121,121,121,121
45,13171,121,121,121,121
46,13172,121,121,121,121
47,13173,121,121,121,121
48,13174,121,121,121,121
49,13175,121,121,121,121
50,13176,121,121,121,121
51,13177,121,121,121,121
52,13178,121,121,121,121
53,13179,121,121,121,121
54,13180,121,121,121,121
55,13181,121,121,121,121
56,13182,121,121,121,121
57,13183,121,121,121,121
58,13184,121,121,121,121
59,13441,121,121,121,121
60,13442,121,121,121,121
61,13443,121,121,121,121
62,13444,121,121,121,121
63,13445,121,121,121,121
64,13446,121,121,121,121
65,13447,121,121,121,121
66,13448,121,121,121,121
67,13449,121,121,121,121
68,13450,121,121,121,121
69,13451,121,121,121,121
70,13452,121,121,121,121
71,13453,121,121,121,121
72,13454,121,121,121,121
73,13455,121,121,121,121
74,13456,121,121,121,121
75,13457,121,121,121,121
76,13458,121,121,121,121
77,13459,121,121,121,121
78,13460,121,121,121,121
79,13461,121,121,121,121
80,13462,121,121,121,121
81,13463,121,121,121,121
82,13464,121,121,121,121
83,13465,121,121,121,121
84,13466,121,121,121,121
85,13467,121,121,121,121
86,13468,121,121,121,121
87,13469,121,121,121,121
88,13470,121,121,121,121
89,13471,121,121,121,121
90,13472,121,121,121,121
91,13473,121,121,121,121
92,13474,121,121,121,121
93,13475,121,121,121,121
94,13476,121,121,121,121
95,13477,121,121,121,121
96,13478,121,121,121,121
97,13479,121,121,121,121
98,13480,121,121,121,121
99,13481,121,121,121,121
100,13482,121,121,121,121
101,13483,121,121,121,121
102,13484,121,121,121,121
103,13485,121,121,121,121
104,13486,121,121,121,121
105,13487,121,121,121,121
106,13488,121,121,121,121
107,13489,121,121,121,121
108,13490,121,121,121,121
109,13491,121,121,121,121
110,13492,121,121,121,121
111,13493,121,121,121,121
112,13494,121,121,121,121
113,13495,121,121,121,121
114,13496,121,121,121,121
115,13497,121,121,121,121
116,13498,121,121,121,121
117,13499,121,121,121,121
118,13500,121,121,121,121
119,13501,121,121,121,121
120,13502,121,121,121,121
121,13503,121,121,121,121
122,13504,121,121,121,121
123,13505,121,121,121,121
124,13506,121,121,121,121
125,13507,121,121,121,121
126,13508,121,121,121,121
127,13509,121,121,121,121
128,13510,121,121,121,121
129,13511,121,121,121,121
130,13512,121,121,121,121
131,13513,121,121,121,121
132,13514,121,121,121,121
133,13515,121,121,121,121
134,13516,121,121,121,121
135,13517,121,121,121,121
136,13518,121,121,121,121
137,13519,121,121,121,121
138,13520,121,121,121,121
139,13521,121,121,121,121
140,13522,121,121,121,121
141,13523,121,121,121,121
142,13524,121,121,121,121
143,13525,121,121,121,121
